,Servers,Values
0,1 server(s),75.67830094160011
1,1 server(s),83.5508638381127
2,1 server(s),72.30513214315248
3,1 server(s),72.6384593581022
4,1 server(s),85.1618211115701
5,1 server(s),68.17212359200953
6,1 server(s),82.37490111719724
7,1 server(s),66.51700232438154
8,1 server(s),60.90543192228789
9,1 server(s),62.847348708989216
10,1 server(s),69.67841736427113
11,1 server(s),77.37588397928943
12,1 server(s),74.22658049845951
13,1 server(s),89.29338404293547
14,1 server(s),84.4009337138478
15,1 server(s),102.0127259029752
16,1 server(s),79.59949966803713
17,1 server(s),70.40558164386154
18,1 server(s),80.1668885462437
19,1 server(s),74.44340713309171
20,1 server(s),64.7416052892566
21,1 server(s),77.04872432778859
22,1 server(s),69.49405778970751
23,1 server(s),81.06683737965443
24,1 server(s),73.10235778294108
25,1 server(s),76.3972197810647
26,1 server(s),67.35495847980462
27,1 server(s),92.42659817222864
28,1 server(s),88.8033488111166
29,1 server(s),71.04794124666591
30,1 server(s),79.96939255706637
31,1 server(s),78.12789679053175
32,1 server(s),78.4263974735738
33,1 server(s),71.98010312779864
34,1 server(s),59.931105772671174
35,1 server(s),78.71962521477705
36,1 server(s),74.7777728829914
37,1 server(s),68.18947460063063
38,1 server(s),79.15511711970912
39,1 server(s),88.82308326741607
40,1 server(s),78.72285730951594
41,1 server(s),79.89290753020788
42,1 server(s),69.24124106120594
43,1 server(s),72.29080402617326
44,1 server(s),82.87741590197284
45,1 server(s),72.31536831174603
46,1 server(s),73.63305032847698
47,1 server(s),87.96458436195
48,1 server(s),103.37542946153035
49,1 server(s),72.41908550489033
50,1 server(s),71.75871315801292
51,1 server(s),76.1138261426428
52,1 server(s),62.54643733001044
53,1 server(s),83.30046313624443
54,1 server(s),78.51733519013666
55,1 server(s),64.7416052892566
56,1 server(s),77.04872432778859
57,1 server(s),69.49405778970751
58,1 server(s),81.06683737965443
59,1 server(s),73.10235778294108
60,1 server(s),76.3972197810647
61,1 server(s),67.35495847980462
62,1 server(s),92.42659817222864
63,1 server(s),88.8033488111166
64,1 server(s),71.04794124666591
65,1 server(s),79.96939255706637
66,1 server(s),78.12789679053175
67,1 server(s),78.4263974735738
68,1 server(s),71.98010312779864
69,1 server(s),59.931105772671174
70,1 server(s),78.71962521477705
71,1 server(s),74.7777728829914
72,1 server(s),68.18947460063063
73,1 server(s),79.15511711970912
74,1 server(s),88.82308326741607
75,1 server(s),78.72285730951594
76,1 server(s),79.89290753020788
77,1 server(s),69.24124106120594
78,1 server(s),72.29080402617326
79,1 server(s),82.87741590197284
80,1 server(s),72.31536831174603
81,1 server(s),73.63305032847698
82,1 server(s),87.96458436195
83,1 server(s),103.37542946153035
84,1 server(s),72.41908550489033
85,1 server(s),71.75871315801292
86,1 server(s),76.1138261426428
87,1 server(s),62.54643733001044
88,1 server(s),83.30046313624443
89,1 server(s),78.51733519013666
90,1 server(s),64.7416052892566
91,1 server(s),77.04872432778859
92,1 server(s),69.49405778970751
93,1 server(s),81.06683737965443
94,1 server(s),73.10235778294108
95,1 server(s),76.3972197810647
96,1 server(s),67.35495847980462
97,1 server(s),92.42659817222864
98,1 server(s),88.8033488111166
99,1 server(s),71.04794124666591
100,1 server(s),79.96939255706637
101,1 server(s),78.12789679053175
102,1 server(s),78.4263974735738
103,1 server(s),71.98010312779864
104,1 server(s),59.931105772671174
105,1 server(s),78.71962521477705
106,1 server(s),74.7777728829914
107,1 server(s),68.18947460063063
108,1 server(s),79.15511711970912
109,1 server(s),88.82308326741607
110,1 server(s),78.72285730951594
111,1 server(s),79.89290753020788
112,1 server(s),69.24124106120594
113,1 server(s),72.29080402617326
114,1 server(s),82.87741590197284
115,1 server(s),72.31536831174603
116,1 server(s),73.63305032847698
117,1 server(s),87.96458436195
118,1 server(s),103.37542946153035
119,1 server(s),72.41908550489033
120,1 server(s),71.75871315801292
121,1 server(s),76.1138261426428
122,1 server(s),62.54643733001044
123,1 server(s),83.30046313624443
