,Servers,Values
0,1 server(s),774.3402930722193
1,1 server(s),704.2412396941786
2,1 server(s),840.7204247220894
3,1 server(s),866.2007681605425
4,1 server(s),1163.1381784848345
5,1 server(s),1062.7952896476709
6,1 server(s),1030.993944090365
7,1 server(s),1081.564332805206
8,1 server(s),1132.9020010255663
9,1 server(s),1154.7251369059677
10,1 server(s),1120.7248198772363
11,1 server(s),1009.6746698866868
12,1 server(s),1014.1600151942497
13,1 server(s),1241.8743154738286
14,1 server(s),977.2190371244043
15,1 server(s),1334.1212487613902
16,1 server(s),702.2064837839155
17,1 server(s),1356.0900074507174
18,1 server(s),1104.5714044178228
19,1 server(s),811.410839117148
20,1 server(s),1429.9688485450408
21,1 server(s),852.8034615852966
22,1 server(s),1247.2995699506973
23,1 server(s),1063.5614098041347
24,1 server(s),852.206967629803
25,1 server(s),1261.5992443237653
26,1 server(s),1247.5209324093428
27,1 server(s),947.0741575524828
28,1 server(s),1059.9031749160117
29,1 server(s),1036.5110233220946
30,1 server(s),1100.5338528672348
31,1 server(s),1077.0703358096573
32,1 server(s),1061.2176493367595
33,1 server(s),1021.613790489664
34,1 server(s),683.0962354425413
35,1 server(s),1368.9583973258632
36,1 server(s),1403.1049939512723
37,1 server(s),1318.750061756127
38,1 server(s),845.3547068580864
39,1 server(s),938.1252361716143
40,1 server(s),1072.314832472487
41,1 server(s),802.7364560967238
42,1 server(s),1096.6311370633343
43,1 server(s),1241.8217032284815
44,1 server(s),949.8951126173574
45,1 server(s),1025.1493527096718
46,1 server(s),1509.8151896495112
47,1 server(s),1292.8658331859176
48,1 server(s),899.0847258326422
49,1 server(s),1198.3942711165928
50,1 server(s),1064.11208886662
51,1 server(s),949.4451409186287
52,1 server(s),1358.961411444956
53,1 server(s),1177.8825496382747
54,1 server(s),785.8274251249074
55,1 server(s),1334.7274063787725
56,1 server(s),1357.6748885287975
57,1 server(s),959.0005212210021
58,1 server(s),1176.6179798581732
59,1 server(s),886.8152022286316
60,1 server(s),761.296510073569
61,1 server(s),1161.8521052602437
62,1 server(s),1063.7834273640947
63,1 server(s),995.0885953855935
64,1 server(s),1144.2357654304453
65,1 server(s),905.4742517650523
66,1 server(s),747.252976367817
67,1 server(s),1119.6874159253646
68,1 server(s),1078.1842836417616
69,1 server(s),1510.8602461480032
70,1 server(s),1170.6897759725596
71,1 server(s),1130.812007823211
72,1 server(s),909.5856823077067
73,1 server(s),597.517581429764
74,1 server(s),1155.6393707599416
75,1 server(s),1039.6388403130566
76,1 server(s),1135.1246029700683
77,1 server(s),881.0810759329919
78,1 server(s),746.8918859788134
79,1 server(s),779.4774350467465
80,1 server(s),1152.881360499195
81,1 server(s),474.7145527157517
82,1 server(s),1321.1067025604589
83,1 server(s),1336.000392007846
84,1 server(s),884.9452263804553
85,1 server(s),1132.5110214753013
86,1 server(s),1171.3911578642371
87,1 server(s),1020.3298567465881
88,1 server(s),1187.189289069669
89,1 server(s),1378.5974459712638
90,1 server(s),763.7915643074123
91,1 server(s),1103.0008948399843
92,1 server(s),1248.4699642211713
93,1 server(s),1103.705136091006
94,1 server(s),1322.2078073906455
95,1 server(s),1221.7336000255216
96,1 server(s),849.1138014036704
97,1 server(s),1386.7031047553555
98,1 server(s),1005.8400879422924
99,1 server(s),1023.9936197985195
100,1 server(s),1207.199246734201
101,1 server(s),971.8816197567907
102,1 server(s),1363.000374763164
103,1 server(s),1163.5719860412885
104,1 server(s),1060.158619602098
105,1 server(s),1062.921040823346
106,1 server(s),1015.9459397607671
107,1 server(s),773.2269604875015
108,1 server(s),973.2335924060469
109,1 server(s),954.0371916714715
110,1 server(s),1100.8556955286572
111,1 server(s),973.3789993440307
112,1 server(s),1248.8108375288564
113,1 server(s),1438.8666202053207
114,1 server(s),721.059941145996
115,1 server(s),1290.051182844878
116,1 server(s),793.1790213425519
117,1 server(s),752.4575316853437
118,1 server(s),1087.0998703340354
119,1 server(s),557.4268510856066
120,1 server(s),1216.4362047403342
121,1 server(s),1078.6002610606479
122,1 server(s),835.2836414104717
123,1 server(s),1034.5584991913606
124,1 server(s),1143.5762306541112
125,1 server(s),1192.5050155413946
126,1 server(s),956.721529782462
127,1 server(s),1040.8629459560968
128,1 server(s),1183.536497802055
129,1 server(s),992.4706388842359
130,1 server(s),887.2616008829223
131,1 server(s),978.0699714065242
132,1 server(s),514.9669742278347
133,1 server(s),1302.6172794088889
134,1 server(s),1129.782701274357
135,1 server(s),1074.0312473779031
136,1 server(s),1010.7983070728781
137,1 server(s),966.2115617324934
138,1 server(s),1118.758733245748
139,1 server(s),963.8473910472927
140,1 server(s),1203.8000603646328
141,1 server(s),1142.0540566145767
142,1 server(s),830.9991801715156
143,1 server(s),1091.9895250725676
144,1 server(s),1573.2333915033678
145,1 server(s),1169.3605693594905
146,1 server(s),1051.8409311616049
147,1 server(s),1416.8901817390372
148,1 server(s),1100.8849271889608
149,1 server(s),1053.6265774568294
150,1 server(s),998.6393643075306
151,1 server(s),893.0282632726638
152,1 server(s),956.5533557903681
153,1 server(s),1064.1865451428005
154,1 server(s),1268.1270228016238
155,1 server(s),916.1917532634914
156,1 server(s),1214.1028351792866
157,1 server(s),908.8644435725402
158,1 server(s),1177.9189473738063
159,1 server(s),1177.0419078303887
160,1 server(s),877.234278494868
161,1 server(s),708.472648827808
162,1 server(s),1290.5656623638138
163,1 server(s),993.1937164399656
164,1 server(s),1131.5010881317748
165,1 server(s),910.6755412542133
166,1 server(s),931.3942017050919
167,1 server(s),1195.4481305288818
168,1 server(s),1220.847004895383
169,1 server(s),741.0148388884821
170,1 server(s),1229.4409623943907
171,1 server(s),730.5157679316137
172,1 server(s),835.3197846834686
173,1 server(s),1050.9265921212482
174,1 server(s),1070.616050662912
175,1 server(s),1088.2253866551189
176,1 server(s),714.0565131539317
177,1 server(s),916.3740780237963
178,1 server(s),836.4719205431144
179,1 server(s),631.6502522030021
180,1 server(s),999.3054467135057
181,1 server(s),1408.1340129280056
182,1 server(s),1023.5706437661808
183,1 server(s),1230.4051949921877
184,1 server(s),1193.8557824625607
185,1 server(s),903.5227211109627
186,1 server(s),1006.462405075391
187,1 server(s),1046.4789046899016
188,1 server(s),876.9996884788196
189,1 server(s),721.3083312947413
190,1 server(s),818.8080200644255
191,1 server(s),835.0698568283997
192,1 server(s),1149.7492193369162
193,1 server(s),1264.4456132710561
194,1 server(s),826.4358702919258
195,1 server(s),1429.1602239526528
196,1 server(s),1065.134509061252
197,1 server(s),1345.9253990847003
198,1 server(s),1341.8100317884882
199,1 server(s),1167.9728092090756
200,1 server(s),1012.7135238405863
201,1 server(s),1373.7207467034455
202,1 server(s),1089.2784781987752
203,1 server(s),888.7065666364246
204,1 server(s),1321.9988046874007
205,1 server(s),1163.1413094542786
206,1 server(s),1431.0950699429975
207,1 server(s),1338.722794880385
208,1 server(s),816.1677320698647
209,1 server(s),913.3595370126598
210,1 server(s),821.1152552506449
211,1 server(s),1043.3922379511077
212,1 server(s),600.9727460663516
213,1 server(s),1324.988401404735
214,1 server(s),893.5932435040448
215,1 server(s),788.0341174327906
216,1 server(s),1097.982120410046
217,1 server(s),742.1478925028223
218,1 server(s),1152.1058821481754
219,1 server(s),1066.4541022513674
220,1 server(s),911.0771571492307
221,1 server(s),868.5831968135986
222,1 server(s),975.6126792554053
223,1 server(s),1184.807336991805
224,1 server(s),812.2341348009219
225,1 server(s),985.9191586087235
226,1 server(s),1066.6350781731826
227,1 server(s),1111.834113880493
228,1 server(s),1231.9521332539198
229,1 server(s),1001.5979769976716
230,1 server(s),995.827176278038
231,1 server(s),1152.1288860879854
232,1 server(s),1250.8510682744416
233,1 server(s),1033.0553801779522
234,1 server(s),833.7543619207798
235,1 server(s),1005.8122822956017
236,1 server(s),1412.0275869306552
237,1 server(s),1044.5051662534784
238,1 server(s),1171.0094113087803
239,1 server(s),1041.18851698347
240,1 server(s),1020.8642661902227
241,1 server(s),1115.495480486375
242,1 server(s),1330.7040537484193
243,1 server(s),1557.5094848066308
244,1 server(s),881.4123595095649
245,1 server(s),1359.5742701251845
246,1 server(s),1154.2255287245607
247,1 server(s),1075.8059380072757
248,1 server(s),1139.8668974636182
249,1 server(s),1032.6227538042067
250,1 server(s),620.1865892733998
251,1 server(s),1062.379550407704
252,1 server(s),1153.4127431532008
253,1 server(s),1188.7917318619056
254,1 server(s),1370.886041322616
255,1 server(s),987.9517629193956
256,1 server(s),563.6233916244462
257,1 server(s),1272.8071493754464
258,1 server(s),1077.7714075136334
259,1 server(s),946.7792442387293
260,1 server(s),1439.8143159404758
261,1 server(s),944.7702616186799
262,1 server(s),1154.3196415482969
263,1 server(s),963.7178778843053
264,1 server(s),886.8103926368941
265,1 server(s),1017.6670862008945
266,1 server(s),1272.593833811267
267,1 server(s),1077.4762103586854
268,1 server(s),1200.4882429065149
269,1 server(s),998.0937307007706
270,1 server(s),743.9243550992283
271,1 server(s),919.0021283112858
272,1 server(s),1294.076256921904
273,1 server(s),1071.1187640706028
274,1 server(s),1178.5504536894932
275,1 server(s),1127.1973731118942
276,1 server(s),1074.0188047854979
277,1 server(s),736.2529175645662
278,1 server(s),1382.6697668941358
279,1 server(s),1186.3852003433487
280,1 server(s),554.7697725502336
281,1 server(s),916.6923037254733
