,Servers,Values,Amount of Customers
0,1 server(s),85.9538049114823,50000
1,1 server(s),106.73631254077736,50000
2,1 server(s),71.62247119947433,50000
3,1 server(s),76.35649879565266,50000
4,1 server(s),88.4364123006459,50000
5,1 server(s),75.47907740298778,50000
6,1 server(s),81.44139188875211,50000
7,1 server(s),90.40860702451944,50000
8,1 server(s),72.0406749167595,50000
9,1 server(s),82.78461238904741,50000
10,1 server(s),79.82562574565057,50000
11,1 server(s),84.39597215331224,50000
12,1 server(s),70.73135693678557,50000
13,1 server(s),84.01449990619064,50000
14,1 server(s),75.74174061860047,50000
15,1 server(s),86.9798278461678,50000
16,1 server(s),84.26921569506241,50000
17,1 server(s),69.28266912788486,50000
18,1 server(s),72.98070362665747,50000
19,1 server(s),75.3767909374451,50000
20,1 server(s),82.5626576487645,50000
21,1 server(s),81.91374183290988,50000
22,1 server(s),72.11378408719769,50000
23,1 server(s),96.7939701172566,50000
24,1 server(s),79.92886539780187,50000
25,1 server(s),81.67559020602528,50000
26,1 server(s),92.47115689576168,50000
27,1 server(s),77.77936262974215,50000
28,1 server(s),82.82273186755722,50000
29,1 server(s),103.28359785254682,50000
30,1 server(s),80.11722282149134,50000
31,1 server(s),79.72672694868213,50000
32,1 server(s),87.26407093395986,50000
33,1 server(s),84.66010522335058,50000
34,1 server(s),84.2308178462615,50000
35,1 server(s),90.94345646205909,50000
36,1 server(s),68.63677174203147,50000
37,1 server(s),73.8583651778079,50000
38,1 server(s),80.37076794297903,50000
39,1 server(s),76.07355444583503,50000
40,1 server(s),88.21251773157766,50000
41,1 server(s),75.44023590933004,50000
42,1 server(s),81.07052635272856,50000
43,1 server(s),94.71312359156482,50000
44,1 server(s),85.29448605894082,50000
45,1 server(s),83.21745225159022,50000
46,1 server(s),79.21379883421871,50000
47,1 server(s),82.05993834175288,50000
48,1 server(s),81.31768603494807,50000
49,1 server(s),86.85940797680398,50000
50,1 server(s),67.84345164228456,50000
51,1 server(s),77.17674839105642,50000
52,1 server(s),75.35148482676827,50000
53,1 server(s),91.53971735076549,50000
54,1 server(s),79.98643110552746,50000
55,1 server(s),92.82802440725352,50000
56,1 server(s),82.33537772383826,50000
57,1 server(s),94.19554779560382,50000
58,1 server(s),76.57070781349273,50000
59,1 server(s),72.25665998449611,50000
60,1 server(s),82.33925492808916,50000
61,1 server(s),80.02045406828805,50000
62,1 server(s),95.1908826552105,50000
63,1 server(s),82.43443882521717,50000
64,1 server(s),77.64080630858578,50000
65,1 server(s),75.42409575457836,50000
66,1 server(s),89.82597153571727,50000
67,1 server(s),66.89107631051833,50000
68,1 server(s),81.6820943457033,50000
69,1 server(s),89.0213399087984,50000
70,1 server(s),70.8589538293376,50000
71,1 server(s),73.25982290752683,50000
72,1 server(s),83.87910217093996,50000
73,1 server(s),99.43722159840082,50000
74,1 server(s),82.29182497625332,50000
75,1 server(s),87.5093642520375,50000
76,1 server(s),82.35364320165068,50000
77,1 server(s),84.50948828902533,50000
78,1 server(s),77.63460480529159,50000
79,1 server(s),86.39096120925981,50000
80,1 server(s),89.45538381544253,50000
81,1 server(s),76.96495343018067,50000
82,1 server(s),76.577077476218,50000
83,1 server(s),89.22879469430617,50000
84,1 server(s),87.08694465013517,50000
85,1 server(s),87.13954579471604,50000
86,1 server(s),84.90742843647774,50000
87,1 server(s),78.95563177268049,50000
88,1 server(s),76.51285972675399,50000
89,1 server(s),77.46815374093838,50000
90,1 server(s),75.16504262310757,50000
